Codes,Class_Names,Scientific_name,EPPO_code,EPPO_code_period,Comments,IsCrop,IsCropOther,IsWoodland,IsFeedingArea,IsPerennial,IsTempCrop,IsPermCrop,Erdas_Red,Erdas_Green
234,Dbl Crop Durum Wht/Sorghum,,"TRZAX,SORVU",SORVU,,1,1,0,1,0,1,0,1,0.6196
235,Dbl Crop Barley/Sorghum,,"TRZAX,SORVU",SORVU,,1,1,0,1,0,1,0,1,0.6196
236,Dbl Crop WinWht/Sorghum,,"SORVU,TRZAX",SORVU,,1,1,0,1,0,1,0,0.6471,0.4392
237,Dbl Crop Barley/Corn,,"TRZAX,ZEAMX",ZEAMX,,1,1,0,1,0,1,0,1,0.8275
238,Dbl Crop WinWht/Cotton,,"TRZAX,1GOSG",1GOSG,,1,1,0,1,0,1,0,0.6471,0.4392
239,Dbl Crop Soybeans/Cotton,,"GLXMA,1GOSG",1GOSG,,1,1,0,1,0,1,0,0.149,0.4431
240,Dbl Crop Soybeans/Oats,,"GLXMA,AVESA",GLXMA,,1,1,0,1,0,1,0,0.149,0.4431
241,Dbl Crop Corn/Soybeans,,"ZEAMX,GLXMA","ZEAMX,GLXMA","not sure, literature describe both crops planted from feb -jun.",1,1,0,1,0,1,0,1,0.8275
242,Blueberries,Vaccinium spp.,VACSS,VACSS,,1,1,0,1,1,0,1,0,0
243,Cabbage,Brassica oleracea var. capitata,BRSOL,BRSOL,,1,1,0,1,0,1,0,1,0.4
244,Cauliflower,Brassica oleracea var. botrytis,BRSOB,BRSOB,,1,1,0,1,0,1,0,1,0.4
245,Celery,Apium graveolens var. dulce,APUGD,APUGD,,1,1,0,1,0,1,0,1,0.4
246,Radishes,Raphanus sativus,RAPSR,RAPSR,,1,1,0,1,0,1,0,1,0.4
247,Turnips,Brassica rapa var. rapa,BSRSS,BSRSS,,1,1,0,1,0,1,0,1,0.4
248,Eggplants,Solanum melongena,SOLME,SOLME,,1,1,0,1,0,1,0,1,0.4
249,Gourds,Cucurbita spp.,CUUSS,CUUSS,,1,1,0,1,0,1,0,1,0.4
250,Cranberries,Vaccinium macrocarpon,VACMA,VACMA,,1,1,0,1,1,0,1,1,0.4
251, ,,,,,0,0,0,0,0,0,0,1,0.8275
252, ,,,,,0,0,0,0,0,0,0,0.149,0.4431
253, ,,,,,0,0,0,0,0,0,0,0.6471,0.4392
254,Dbl Crop Barley/Soybeans,,"HORVX,GLXMA",GLXMA,,1,1,0,1,0,1,0,0.149,0.4431
255, ,,,,,0,0,0,0,0,0,0,0,0
